,29,10,48,18,6,8,50,45,9,22,13,35,21,53,33,36,38,54,44,47,52,20,40,28,49,42,3,7,37,4,14,39,2,17,27,12,41,1,11,43,26,5,15,46,30,31,0,23,34,19,16,51,25,32,24,x,y,timestamp
21,,,,,-90.0,,,,,-84.0,,,,,,,,,,,,-89.0,,,,,-81.0,,,,,,-64.0,,,,,,-69.0,,-90.0,,-70.0,,,,-62.0,,,,,,-90.0,,,148.902481079102,292.853729248047,2017-07-11 22:02:28
22,,-82.0,,,-87.0,,,,,-80.0,,,,,,,,,,,,-86.0,,,,,-77.0,,,-89.0,,,-67.0,,,,,,-65.0,,-89.0,,-64.0,,,,-63.0,-89.0,,,,,-89.0,,-84.0,166.570465087891,292.923797607422,2017-07-11 22:03:24
23,,-85.0,,,-86.0,,,,,-77.0,,,,,,,,,,,,-86.0,,,,,-77.0,,,-89.0,,,-63.0,,-88.0,,,,-61.0,,,,-60.0,,,,-64.0,-88.0,,,,,-85.0,,,183.840377807617,292.759887695312,2017-07-11 22:03:39
24,,,,,-85.0,,,,,-78.0,,,,,,,,,,,,-87.0,,-90.0,,,-74.0,,,-90.0,,,-61.0,,-85.0,-88.0,,,-52.0,,,,-60.0,,,,-62.0,,,,,,-86.0,,,201.965866088867,292.490234375,2017-07-11 22:03:52
25,-92.0,,,,,,,,,-81.0,,,,,,,,,,,,,,-92.0,,,-75.0,,,-88.0,,,-69.0,,,,,,-59.0,,,,-65.0,,-88.0,,-65.0,-85.0,,,,,-84.0,,-82.0,219.276184082031,293.110443115234,2017-07-11 22:04:06
26,,,,,-85.0,,,,,-78.0,,,,,,,,,,,,-80.0,,,,,-77.0,,,-87.0,,,-73.0,,-89.0,-90.0,,,-57.0,,,,-69.0,,,-85.0,-66.0,-84.0,,,,,-86.0,-89.0,-78.0,237.474807739258,292.929168701172,2017-07-11 22:04:20
27,,,,,-85.0,,,,,-81.0,,,,,-91.0,,,,,,,-82.0,,,,,-76.0,-92.0,,-87.0,,,-74.0,,,,,,-64.0,,,,-68.0,,,-82.0,-70.0,-84.0,-92.0,,,,-87.0,,-79.0,254.839447021484,292.32171630859403,2017-07-11 22:04:35
28,,-78.0,,,,,,,,,,-88.0,,,-88.0,-85.0,,,,,,-81.0,,,,,-73.0,,,-84.0,,,-75.0,,,,,,-62.0,,-88.0,,-73.0,,,,-72.0,,,,,,-89.0,-89.0,-80.0,272.307403564453,293.153778076172,2017-07-11 22:04:47
29,,,,,-80.0,,,,,,,-89.0,,,-88.0,-86.0,,,,,,-78.0,,,,,-72.0,,,-85.0,,,-78.0,,,,,,-69.0,,,,,,-84.0,,-75.0,-82.0,,,,,-89.0,,,290.129669189453,293.24395751953097,2017-07-11 22:05:01
30,,-76.0,,,-80.0,,,,,-83.0,,,,,-89.0,-87.0,,,,,,-80.0,,,,,-70.0,,,-85.0,,,-81.0,,,,,,-67.0,,-86.0,,-76.0,,-87.0,,-73.0,-82.0,,,,,-87.0,,-76.0,308.385009765625,293.342193603516,2017-07-11 22:05:16
31,,-76.0,,,-80.0,,,,,-86.0,,-91.0,,,-83.0,,,,,,,-79.0,,,,,-71.0,-91.0,,-82.0,,,-80.0,,,,,,-74.0,,-87.0,,,,,,-77.0,-82.0,-87.0,,,,-90.0,-88.0,-76.0,325.196319580078,292.656127929687,2017-07-11 22:05:37
32,-89.0,,,,-83.0,,,,,-86.0,,-89.0,,,-89.0,,,,,,,-82.0,,,,,-73.0,,-90.0,-85.0,,,-84.0,,,,,,-75.0,,-85.0,,-78.0,,,-83.0,-78.0,-77.0,,,,,,-87.0,-77.0,342.860321044922,292.934814453125,2017-07-11 22:05:52
33,,-75.0,,,-82.0,,,,,,,-90.0,,,,-90.0,-92.0,,,,,-73.0,,,,,-67.0,,,-88.0,,,-84.0,,,,,,-76.0,,-82.0,,-83.0,,,,-80.0,-80.0,-89.0,,,,,-88.0,-77.0,360.53372192382795,292.708862304687,2017-07-11 22:06:08
34,-89.0,-73.0,,,,,,,,,,,,,,,-92.0,,,,,-75.0,,,,,-65.0,-91.0,,-89.0,,,-88.0,,,,,,-80.0,,,,-85.0,,,,,-74.0,-90.0,,,,,-87.0,,378.3583984375,292.66656494140597,2017-07-11 22:06:23
35,-89.0,-67.0,,,-76.0,,,,,-88.0,,,,,-91.0,-85.0,-90.0,,,,,-74.0,,,,,-63.0,,,,,-87.0,-89.0,,,,,,-77.0,,-78.0,,,,,,,-76.0,-89.0,,,,,-84.0,-73.0,395.817962646484,292.295257568359,2017-07-11 22:06:38
